question,answer
what is the genre for The Karate Kid?,"The Karate Kid belongs to the genres of Action, Adventure, Drama, and Family."
what is the runtime of The Karate Kid?,The runtime of The Karate Kid is 90 minutes.
what is the The Karate Kid rated for?,The Karate Kid is rated PG
what is the rating for The Karate Kid?,The movie has a rating of 7.2.
what is the summary of The Karate Kid?,The Karate Kid is about a young boy who learns martial arts from a maintenance man to defend himself against bullies.
what is the genre for A Dog's Purpose?,"A Dog's Purpose belongs to the genres of Adventure, Comedy, Fantasy, Family, and Drama."
what is the runtime of A Dog's Purpose?,The runtime of A Dog's Purpose is 90 minutes.
what is A Dog's Purpose rated for?,A Dog's Purpose is rated PG.
what is the rating for A Dog's Purpose?,The movie has a rating of 6.8.
what is the summary of A Dog's Purpose?,A Dog's Purpose follows the story of a dog through several lives as it reincarnates and touches the lives of different owners.
what is the genre for Pride & Prejudice?,Pride & Prejudice belongs to the genres of Drama and Romance.
what is the runtime of Pride & Prejudice?,The runtime of Pride & Prejudice is 97 minutes.
what is Pride & Prejudice rated for?,Pride & Prejudice is rated U.
what is the rating for Pride & Prejudice?,The movie has a rating of 8.4.
what is the summary of Pride & Prejudice?,Pride & Prejudice is based on Jane Austen's novel and explores the complex romantic relationship between Elizabeth Bennet and Mr. Darcy inrated for?th-century England.
what is the genre for Get Out?,"Get Out belongs to the genres of Mystery, Thriller, and Horror."
what is the runtime of Get Out?,The runtime of Get Out is 94 minutes.
what is Get Out rated for?,Get Out is rated R.
what is the rating for Get Out?,The movie has a rating of 9.2.
what is the summary of Get Out?,Get Out is a horror film that delves into racial tension as a young African American man uncovers disturbing secrets during a visit to his white girlfriend's family estate.
what is the genre for Angels & Demons ?,Angels & Demons belongs to the genres of Thriller and Mystery.
what is the runtime of Angels & Demons?,The runtime of Angels & Demon is 98 minutes.
what is Angels & Demons rated for?,Angels & Demonsis rated PG.
what is the rating for Angels & Demons?,The movie has a rating of 5.7.
what is the summary of Angels & Demons?,"Angels & Demons follows Harvard symbologist Robert Langdon as he investigates a murder at the Vatican, uncovering a conspiracy involving the Illuminati."
what is the genre for John Carter ?,"John Carter belongs to the genres of Action, Adventure, and Science Fiction."
what is the runtime of John Carter?,The runtime of John Carter is 92 minutes.
what is John Carter rated for?,John Carter is rated PG.
what is the rating for John Carter?,The movie has a rating of 6.3.
what is the summary of John Carter?,"John Carter follows a former military captain who is transported to Mars, where he becomes involved in a conflict between the planet's inhabitants."
what is the genre for Marry Me ?,"Marry Mebelongs to the genres of Romance, Comedy, and Music."
what is the runtime of Marry Me?,The runtime of Marry Me is 92 minutes.
what is Marry Me rated for?,Marry Me is rated NC.
